condition,Gene,mean_count,time,treatment
12h_Dd,Z1,856.20688721076,12h,Dd
12h_Dd,Z2,1078.29538305933,12h,Dd
12h_Dd,X3,398.43018647439,12h,Dd
12h_Dd,Y2,34219.9451822508,12h,Dd
12h_Dd,Y1,1357.85992320699,12h,Dd
12h_Dd,X1,20306.116470624,12h,Dd
12h_Dd,X2,3134.19050862441,12h,Dd
12h_Dx,Z1,5552.80927198435,12h,Dx
12h_Dx,Z2,343.204841929601,12h,Dx
12h_Dx,X3,292.814823248341,12h,Dx
12h_Dx,Y2,61243.887449343,12h,Dx
12h_Dx,Y1,3688.33794676606,12h,Dx
12h_Dx,X1,24237.9980728609,12h,Dx
12h_Dx,X2,1710.83779759938,12h,Dx
12h_xd,Z1,416.419057354503,12h,xd
12h_xd,Z2,530.455468879881,12h,xd
12h_xd,X3,5206.88173862051,12h,xd
12h_xd,Y2,7992.45281073534,12h,xd
12h_xd,Y1,1782.38756117478,12h,xd
12h_xd,X1,23297.3071138903,12h,xd
12h_xd,X2,7581.29741296092,12h,xd
12h_xx,Z1,484.217882026486,12h,xx
12h_xx,Z2,246.843120506079,12h,xx
12h_xx,X3,6208.03977433413,12h,xx
12h_xx,Y2,12420.6849671463,12h,xx
12h_xx,Y1,2570.70956082149,12h,xx
12h_xx,X1,27060.4641847431,12h,xx
12h_xx,X2,7664.72932720191,12h,xx
24h_Dd,Z1,1052.47360618982,24h,Dd
24h_Dd,Z2,472.000642913762,24h,Dd
24h_Dd,X3,219.92519759658,24h,Dd
24h_Dd,Y2,47205.9557238629,24h,Dd
24h_Dd,Y1,4616.1546091057,24h,Dd
24h_Dd,X1,11700.0033936647,24h,Dd
24h_Dd,X2,1926.06334640605,24h,Dd
24h_Dx,Z1,6521.27533743841,24h,Dx
24h_Dx,Z2,166.79724434351,24h,Dx
24h_Dx,X3,162.554894510046,24h,Dx
24h_Dx,Y2,84455.6739425648,24h,Dx
24h_Dx,Y1,11127.8430695189,24h,Dx
24h_Dx,X1,16356.2274501428,24h,Dx
24h_Dx,X2,778.736909603557,24h,Dx
24h_xd,Z1,633.42767162388,24h,xd
24h_xd,Z2,650.830727292736,24h,xd
24h_xd,X3,6356.1827954976,24h,xd
24h_xd,Y2,6497.98896878642,24h,xd
24h_xd,Y1,1739.60749447149,24h,xd
24h_xd,X1,21955.1965781908,24h,xd
24h_xd,X2,7567.35064784826,24h,xd
24h_xx,Z1,529.432786386496,24h,xx
24h_xx,Z2,187.768271446287,24h,xx
24h_xx,X3,5613.13547862861,24h,xx
24h_xx,Y2,11362.6383216013,24h,xx
24h_xx,Y1,2891.89949880159,24h,xx
24h_xx,X1,27994.7244682745,24h,xx
24h_xx,X2,7630.6552737739,24h,xx
2h_Dd,Z1,531.059614694606,2h,Dd
2h_Dd,Z2,131.780073222312,2h,Dd
2h_Dd,X3,4165.85791031538,2h,Dd
2h_Dd,Y2,16670.4832155928,2h,Dd
2h_Dd,Y1,3472.9271571438,2h,Dd
2h_Dd,X1,37332.847534264,2h,Dd
2h_Dd,X2,5580.13643641707,2h,Dd
2h_Dx,Z1,552.075411103304,2h,Dx
2h_Dx,Z2,136.688061755027,2h,Dx
2h_Dx,X3,4156.82009195826,2h,Dx
2h_Dx,Y2,18038.7691302878,2h,Dx
2h_Dx,Y1,3913.9152388975,2h,Dx
2h_Dx,X1,37786.8865227718,2h,Dx
2h_Dx,X2,3563.82371986549,2h,Dx
2h_xd,Z1,499.952226913865,2h,xd
2h_xd,Z2,119.43692806534,2h,xd
2h_xd,X3,5861.63886467911,2h,xd
2h_xd,Y2,16270.7181472691,2h,xd
2h_xd,Y1,3863.02561587052,2h,xd
2h_xd,X1,38909.4451264494,2h,xd
2h_xd,X2,9817.40501174001,2h,xd
2h_xx,Z1,464.209105484085,2h,xx
2h_xx,Z2,106.46942470434,2h,xx
2h_xx,X3,6956.96394493844,2h,xx
2h_xx,Y2,17829.4793165919,2h,xx
2h_xx,Y1,4710.32534441515,2h,xx
2h_xx,X1,42474.7886403566,2h,xx
2h_xx,X2,7403.84523532601,2h,xx
6h_Dd,Z1,791.481273014787,6h,Dd
6h_Dd,Z2,720.854539398578,6h,Dd
6h_Dd,X3,780.081535247445,6h,Dd
6h_Dd,Y2,22052.9771529921,6h,Dd
6h_Dd,Y1,1594.01245412907,6h,Dd
6h_Dd,X1,32324.442534597,6h,Dd
6h_Dd,X2,3148.80854342912,6h,Dd
6h_Dx,Z1,1634.92834179793,6h,Dx
6h_Dx,Z2,330.39780322046,6h,Dx
6h_Dx,X3,773.667784340938,6h,Dx
6h_Dx,Y2,34139.6752613056,6h,Dx
6h_Dx,Y1,3306.87069240667,6h,Dx
6h_Dx,X1,37050.5767801761,6h,Dx
6h_Dx,X2,1465.86381783324,6h,Dx
6h_xd,Z1,544.146746057015,6h,xd
6h_xd,Z2,177.574595090074,6h,xd
6h_xd,X3,4348.5536007932,6h,xd
6h_xd,Y2,11916.6754848504,6h,xd
6h_xd,Y1,2432.15566060982,6h,xd
6h_xd,X1,34301.9748286903,6h,xd
6h_xd,X2,7122.12529077186,6h,xd
6h_xx,Z1,459.238121435247,6h,xx
6h_xx,Z2,99.4330551523258,6h,xx
6h_xx,X3,7279.3361174149,6h,xx
6h_xx,Y2,15872.4602240826,6h,xx
6h_xx,Y1,4354.55844667208,6h,xx
6h_xx,X1,42583.6562010517,6h,xx
6h_xx,X2,7488.75774845042,6h,xx
