Gene,median,biorep,counts,condition,time,treatment
X1,29685.7618226294,Bio1,43236.1121062546,2h_xx,2h,xx
X1,29685.7618226294,Bio1,40920.4262446341,2h_Dx,2h,Dx
X1,29685.7618226294,Bio1,40121.9131471735,2h_xd,2h,xd
X1,29685.7618226294,Bio1,39529.1498262201,2h_Dd,2h,Dd
X1,29685.7618226294,Bio1,42576.0789326817,6h_xx,6h,xx
X1,29685.7618226294,Bio1,38701.659261838,6h_Dx,6h,Dx
X1,29685.7618226294,Bio1,35951.9511199012,6h_xd,6h,xd
X1,29685.7618226294,Bio1,33869.3069912228,6h_Dd,6h,Dd
X1,29685.7618226294,Bio2,42610.2030586536,2h_xx,2h,xx
X1,29685.7618226294,Bio2,38277.9255967227,2h_Dx,2h,Dx
X1,29685.7618226294,Bio2,39388.2755319237,2h_xd,2h,xd
X1,29685.7618226294,Bio2,35423.5010679,2h_Dd,2h,Dd
X1,29685.7618226294,Bio2,45052.3303631381,6h_xx,6h,xx
X1,29685.7618226294,Bio2,37219.6239106808,6h_Dx,6h,Dx
X1,29685.7618226294,Bio2,33031.0392597197,6h_xd,6h,xd
X1,29685.7618226294,Bio2,32631.0885218299,6h_Dd,6h,Dd
X1,29685.7618226294,Bio3,41578.0507561616,2h_xx,2h,xx
X1,29685.7618226294,Bio3,34162.3077269586,2h_Dx,2h,Dx
X1,29685.7618226294,Bio3,37218.1467002509,2h_xd,2h,xd
X1,29685.7618226294,Bio3,37045.8917086718,2h_Dd,2h,Dd
X1,29685.7618226294,Bio3,40122.5593073353,6h_xx,6h,xx
X1,29685.7618226294,Bio3,35230.4471680095,6h_Dx,6h,Dx
X1,29685.7618226294,Bio3,33922.9341064499,6h_xd,6h,xd
X1,29685.7618226294,Bio3,30472.9320907383,6h_Dd,6h,Dd
X1,29685.7618226294,Bio1,25000.1456109043,12h_xx,12h,xx
X1,29685.7618226294,Bio1,24780.2281398298,12h_Dx,12h,Dx
X1,29685.7618226294,Bio1,21943.995792038,12h_xd,12h,xd
X1,29685.7618226294,Bio1,20197.4857091266,12h_Dd,12h,Dd
X1,29685.7618226294,Bio1,26346.1554393783,24h_xx,24h,xx
X1,29685.7618226294,Bio1,14759.0291231397,24h_Dx,24h,Dx
X1,29685.7618226294,Bio1,22644.4759600567,24h_xd,24h,xd
X1,29685.7618226294,Bio1,11350.0501860415,24h_Dd,24h,Dd
X1,29685.7618226294,Bio2,27410.2612139841,12h_xx,12h,xx
X1,29685.7618226294,Bio2,23150.3072630949,12h_Dx,12h,Dx
X1,29685.7618226294,Bio2,23582.8003129602,12h_xd,12h,xd
X1,29685.7618226294,Bio2,20258.7399358032,12h_Dd,12h,Dd
X1,29685.7618226294,Bio2,28739.4264109247,24h_xx,24h,xx
X1,29685.7618226294,Bio2,16856.1227247871,24h_Dx,24h,Dx
X1,29685.7618226294,Bio2,21486.0236408887,24h_xd,24h,xd
X1,29685.7618226294,Bio2,12568.2673273165,24h_Dd,24h,Dd
X1,29685.7618226294,Bio3,28770.9857293407,12h_xx,12h,xx
X1,29685.7618226294,Bio3,24783.458815658,12h_Dx,12h,Dx
X1,29685.7618226294,Bio3,24365.1252366727,12h_xd,12h,xd
X1,29685.7618226294,Bio3,20462.1237669422,12h_Dd,12h,Dd
X1,29685.7618226294,Bio3,28898.5915545204,24h_xx,24h,xx
X1,29685.7618226294,Bio3,17453.5305025016,24h_Dx,24h,Dx
X1,29685.7618226294,Bio3,21735.090133627,24h_xd,24h,xd
X1,29685.7618226294,Bio3,11181.6926676362,24h_Dd,24h,Dd
X2,6068.06321940277,Bio1,7686.4854500575,2h_xx,2h,xx
X2,6068.06321940277,Bio1,3724.74268255521,2h_Dx,2h,Dx
X2,6068.06321940277,Bio1,10182.4520544874,2h_xd,2h,xd
X2,6068.06321940277,Bio1,5906.16344625045,2h_Dd,2h,Dd
X2,6068.06321940277,Bio1,7245.42650461013,6h_xx,6h,xx
X2,6068.06321940277,Bio1,1340.15454401834,6h_Dx,6h,Dx
X2,6068.06321940277,Bio1,6877.41547379364,6h_xd,6h,xd
X2,6068.06321940277,Bio1,2917.43186194067,6h_Dd,6h,Dd
X2,6068.06321940277,Bio2,7397.28016292901,2h_xx,2h,xx
X2,6068.06321940277,Bio2,3353.6551127038,2h_Dx,2h,Dx
X2,6068.06321940277,Bio2,9861.30605174043,2h_xd,2h,xd
X2,6068.06321940277,Bio2,5616.08112953684,2h_Dd,2h,Dd
X2,6068.06321940277,Bio2,7893.84029625965,6h_xx,6h,xx
X2,6068.06321940277,Bio2,1454.65298929465,6h_Dx,6h,Dx
X2,6068.06321940277,Bio2,6938.063875335,6h_xd,6h,xd
X2,6068.06321940277,Bio2,2974.45435884775,6h_Dd,6h,Dd
X2,6068.06321940277,Bio3,7127.77009299153,2h_xx,2h,xx
X2,6068.06321940277,Bio3,3613.07336433746,2h_Dx,2h,Dx
X2,6068.06321940277,Bio3,9408.45692899223,2h_xd,2h,xd
X2,6068.06321940277,Bio3,5218.16473346392,2h_Dd,2h,Dd
X2,6068.06321940277,Bio3,7327.00644448149,6h_xx,6h,xx
X2,6068.06321940277,Bio3,1602.78392018674,6h_Dx,6h,Dx
X2,6068.06321940277,Bio3,7550.89652318693,6h_xd,6h,xd
X2,6068.06321940277,Bio3,3554.53940949894,6h_Dd,6h,Dd
X2,6068.06321940277,Bio1,6229.9629925551,12h_xx,12h,xx
X2,6068.06321940277,Bio1,1731.60843934081,12h_Dx,12h,Dx
X2,6068.06321940277,Bio1,6568.02008439556,12h_xd,12h,xd
X2,6068.06321940277,Bio1,3125.80135974578,12h_Dd,12h,Dd
X2,6068.06321940277,Bio1,7380.52278046389,24h_xx,24h,xx
X2,6068.06321940277,Bio1,642.889171135939,24h_Dx,24h,Dx
X2,6068.06321940277,Bio1,7251.01228879895,24h_xd,24h,xd
X2,6068.06321940277,Bio1,1929.95846059333,24h_Dd,24h,Dd
X2,6068.06321940277,Bio2,8581.37000614358,12h_xx,12h,xx
X2,6068.06321940277,Bio2,1646.74882263928,12h_Dx,12h,Dx
X2,6068.06321940277,Bio2,8245.63432580551,12h_xd,12h,xd
X2,6068.06321940277,Bio2,3090.44836853324,12h_Dd,12h,Dd
X2,6068.06321940277,Bio2,7832.93273856892,24h_xx,24h,xx
X2,6068.06321940277,Bio2,809.741055318961,24h_Dx,24h,Dx
X2,6068.06321940277,Bio2,7996.98931541392,24h_xd,24h,xd
X2,6068.06321940277,Bio2,2037.42337227399,24h_Dd,24h,Dd
X2,6068.06321940277,Bio3,8182.85498290704,12h_xx,12h,xx
X2,6068.06321940277,Bio3,1754.15613081804,12h_Dx,12h,Dx
X2,6068.06321940277,Bio3,7930.2378286817,12h_xd,12h,xd
X2,6068.06321940277,Bio3,3186.32179759422,12h_Dd,12h,Dd
X2,6068.06321940277,Bio3,7678.51030228888,24h_xx,24h,xx
X2,6068.06321940277,Bio3,883.580502355772,24h_Dx,24h,Dx
X2,6068.06321940277,Bio3,7454.05033933192,24h_xd,24h,xd
X2,6068.06321940277,Bio3,1810.80820635083,24h_Dd,24h,Dd
Z2,204.96368334915,Bio1,101.719888004213,2h_xx,2h,xx
Z2,204.96368334915,Bio1,126.655152382139,2h_Dx,2h,Dx
Z2,204.96368334915,Bio1,109.001874759829,2h_xd,2h,xd
Z2,204.96368334915,Bio1,125.594180485869,2h_Dd,2h,Dd
Z2,204.96368334915,Bio1,101.279304640176,6h_xx,6h,xx
Z2,204.96368334915,Bio1,343.537613419921,6h_Dx,6h,Dx
Z2,204.96368334915,Bio1,181.833921763343,6h_xd,6h,xd
Z2,204.96368334915,Bio1,662.020133299107,6h_Dd,6h,Dd
Z2,204.96368334915,Bio2,116.43646899567,2h_xx,2h,xx
Z2,204.96368334915,Bio2,150.954204862424,2h_Dx,2h,Dx
Z2,204.96368334915,Bio2,121.245566209923,2h_xd,2h,xd
Z2,204.96368334915,Bio2,123.358163619928,2h_Dd,2h,Dd
Z2,204.96368334915,Bio2,95.5163834952684,6h_xx,6h,xx
Z2,204.96368334915,Bio2,316.257737417296,6h_Dx,6h,Dx
Z2,204.96368334915,Bio2,172.746971080284,6h_xd,6h,xd
